UniqueFlyID,CaterpillarID,FlyID,Sex,WanderWeight,HeadCapsuleWidth,WanderDate,SiblingNumber,NutritionIndex,FlyWeight,HeadWeight,ThoraxWeight,AbWeight,WingWeight,LegsWeight,WingIntact,Comments
6,10,8,M,7.8212,6.29,2017-08-19,,,7.834,0.85,4.741,1.473,0.151,0.626,TRUE,
7,10,7,F,7.8212,6.29,2017-08-19,,,14.933,1.598,5.841,6.154,0.247,1.04,TRUE,
8,10,18,M,7.8212,6.29,2017-08-19,,,14.232,2.085,5.863,5.246,0.191,0.832,TRUE,
9,10,10,F,7.8212,6.29,2017-08-19,,,16.11,1.832,6.209,6.605,0.303,1.204,TRUE,
10,10,9,M,7.8212,6.29,2017-08-19,,,14.686,1.436,7.417,4.231,0.28,1.286,TRUE,
11,10,15,M,7.8212,6.29,2017-08-19,,,9.653,1.023,5.836,1.807,0.18,0.755,TRUE,
12,10,11,F,7.8212,6.29,2017-08-19,,,13.346,1.43,5.976,4.665,0.193,1.086,TRUE,
13,10,12,F,7.8212,6.29,2017-08-19,,,9.33,1.088,4.576,2.707,0.136,0.817,TRUE,
14,10,13,M,7.8212,6.29,2017-08-19,,,13.126,1.28,7.495,3.225,0.195,1.104,TRUE,
15,10,14,M,7.8212,6.29,2017-08-19,,,15.122,1.397,8.006,4.778,0.264,0.683,TRUE,
22,10,17,F,7.8212,6.29,2017-08-19,,,7.143,0.791,3.65,1.688,0.149,0.857,TRUE,
24,10,16,M,7.8212,6.29,2017-08-19,,,13.174,1.228,7.389,3.351,0.164,1.055,TRUE,
39,10,1,M,7.8212,6.29,2017-08-19,,,13.469,1.368,6.801,4.115,0.21,0.985,TRUE,
60,14,7,M,5.4712,6.03,2017-08-18,,,11.264,1.139,6.115,2.949,0.204,0.821,FALSE,
38,14,5,F,3.524,5.97,2017-08-20,,,11.845,1.12,6.476,2.884,0.307,1.105,TRUE,
42,14,6,M,3.524,5.97,2017-08-21,,,10.606,1.101,6.891,1.468,0.232,0.99,FALSE,
43,14,4,M,3.524,5.97,2017-08-22,,,11.884,1.112,7.511,2.025,0.27,0.992,TRUE,
61,14,2,M,3.524,5.97,2017-08-23,,,11.35,1.1,7.368,1.746,0.218,0.949,TRUE,
63,14,1,M,3.524,5.97,2017-08-24,,,11.984,1.149,8.096,1.542,0.256,0.978,FALSE,
90,14,3,M,3.524,5.97,2017-08-24,,,8.836,0.911,5.233,1.456,0.152,1.065,TRUE,
37,22,1,M,7.307,6.12,2017-08-21,,,12.645,1.317,6.47,3.835,0.257,0.773,TRUE,
68,22,3,M,7.307,6.12,2017-08-21,,,11.237,1.215,6.127,2.863,0.183,0.821,TRUE,
